ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
ProvinceThai,DistrictThaiShort,Distinct Count of PostCode,All Post Code,
,นาเชือก,1,44170,
,นาดูน,1,44180,
,บรบือ,1,44130,
,พยัคฆภูมิพิสัย,1,44110,
,เมืองมหาสารคาม,1,44000,
,ยางสีสุราช,1,44210,
,วาปีปทุม,1,44120,
มหาสารคาม Total,,11,44000/44110/44120/44130/44140/44150/44160/44170/44180/44190/44210,
มุกดาหาร,คำชะอี,1,49110,
,ดงหลวง,1,49140,
,ดอนตาล,1,49120,
,นิคมคำสร้อย,1,49130,
,เมืองมุกดาหาร,1,49000,
,หนองสูง,1,49160,
,หว้านใหญ่,1,49150,
มุกดาหาร Total,,7,49000/49110/49120/49130/49140/49150/49160,
แม่ฮ่องสอน,ขุนยวม,1,58140,
,ปางมะผ้า,1,58150,
,ปาย,1,58130,
,เมืองแม่ฮ่องสอน,1,58000,
,แม่ลาน้อย,1,58120,
,แม่สะเรียง,1,58110,
,สบเมย,1,58110,
แม่ฮ่องสอน Total,,6,58000/58110/58120/58130/58140/58150,
ยโสธร,กุดชุม,1,35140,
,ค้อวัง,1,35160,
,คำเขื่อนแก้ว,2,35110/35180,
,ทรายมูล,1,35170,
,ไทยเจริญ,1,35120,
,ป่าติ้ว,1,35150,
,มหาชนะชัย,1,35130,
,เมืองยโสธร,1,35000,
,เลิงนกทา,1,35120,
ยโสธร Total,,9,35000/35110/35120/35130/35140/35150/35160/35170/35180,
ยะลา,กรงปินัง,1,95000,
,กาบัง,1,95120,
,ธารโต,3,95130/95150/95170,
,บันนังสตา,1,95130,
,เบตง,1,95110,
,เมืองยะลา,2,95000/95160,
,ยะหา,1,95120,
,รามัน,1,95140,
ยะลา Total,,8,95000/95110/95120/95130/95140/95150/95160/95170,
ร้อยเอ็ด,เกษตรวิสัย,1,45150,
,จตุรพักตรพิมาน,1,45180,
,จังหาร,1,45000,
,เชียงขวัญ,2,45000/45170,
,ทุ่งเขาหลวง,1,45170,
,ธวัชบุรี,1,45170,
,ปทุมรัตต์,1,45190,
,พนมไพร,1,45140,
,โพธิ์ชัย,1,45230,
,โพนทราย,1,45240,
,โพนทอง,1,45110,
,เมยวดี,1,45250,
,เมืองร้อยเอ็ด,1,45000,
,เมืองสรวง,1,45220,
,ศรีสมเด็จ,2,45000/45280,
,สุวรรณภูมิ,1,45130,
,เสลภูมิ,1,45120,
,หนองพอก,1,45210,
,หนองฮี,1,45140,
,อาจสามารถ,1,45160,
ร้อยเอ็ด Total,,16,45000/45110/45120/45130/45140/45150/45160/45170/45180/45190/45210/45220/45230/45240/45250/45280,
ระนอง,กระบุรี,1,85110,
,กะเปอร์,1,85120,
